1000 5000
0 1 74
1 2 24
1 3 48
0 4 44
1 5 45
4 6 17
1 7 94
0 8 50
1 9 85
6 10 99
6 11 48
1 12 58
6 13 52
6 14 51
11 15 84
10 16 96
0 17 25
16 18 86
8 19 29
17 20 33
7 21 44
10 22 80
15 23 4
8 24 1
20 25 100
25 26 100
1 27 43
1 28 85
7 29 10
27 30 15
7 31 97
30 32 17
2 33 34
16 34 57
18 35 4
0 36 44
11 37 83
8 38 51
11 39 56
18 40 96
39 41 82
40 42 74
31 43 14
23 44 17
14 45 20
21 46 68
29 47 20
17 48 16
30 49 25
35 50 22
43 51 51
20 52 42
52 53 29
9 54 57
6 55 39
14 56 91
2 57 4
9 58 56
6 59 25
29 60 74
7 61 38
3 62 7
23 63 67
26 64 66
35 65 77
42 66 92
1 67 25
4 68 58
22 69 65
17 70 9
48 71 94
63 72 81
54 73 45
45 74 95
18 75 34
73 76 45
47 77 71
61 78 65
60 79 34
21 80 50
55 81 33
46 82 81
65 83 96
31 84 1
2 85 59
37 86 92
3 87 1
4 88 9
39 89 1
46 90 86
41 91 50
26 92 25
92 93 1
50 94 89
52 95 75
12 96 51
71 97 57
8 98 48
63 99 47
32 100 58
29 101 76
57 102 56
30 103 27
99 104 1
2 105 59
71 106 24
37 107 78
49 108 3
48 109 52
86 110 74
91 111 99
45 112 25
81 113 50
54 114 19
17 115 31
18 116 18
101 117 100
39 118 28
72 119 10
103 120 98
110 121 99
27 122 73
61 123 49
103 124 57
60 125 82
98 126 3
51 127 70
51 128 1
57 129 46
61 130 42
113 131 44
23 132 97
20 133 14
32 134 69
78 135 63
130 136 54
82 137 1
102 138 15
62 139 21
0 140 86
70 141 15
24 142 6
92 143 70
75 144 37
39 145 13
44 146 56
37 147 46
62 148 12
37 149 74
97 150 45
97 151 36
87 152 78
135 153 63
58 154 7
112 155 8
3 156 78
17 157 38
75 158 74
97 159 32
109 160 57
19 161 61
145 162 79
61 163 58
162 164 78
39 165 13
0 166 54
161 167 36
106 168 26
164 169 94
121 170 43
27 171 59
125 172 29
141 173 71
49 174 25
106 175 41
12 176 39
3 177 93
85 178 78
81 179 13
159 180 37
158 181 68
1 182 100
178 183 95
71 184 77
181 185 46
167 186 24
124 187 53
104 188 24
167 189 69
83 190 17
190 191 75
49 192 85
81 193 23
55 194 23
149 195 90
195 196 32
64 197 63
